CHL,SST,Salinity,Wind_Speed_ERA5,Wind_direction_ERA5,TP,STD:200KM,STD:100KM,STD_SST_12M,STD_SST_6month,salinty_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_month_Status
4.03405,23.225,17132.1,2.846302401,43.23205992,0.00022,0.5805,0.3684,3.525874202,2.8216535,648.9104242,NON_BLOOM,0.2121,1.09719,NON_BLOOM
1.09719,25.59,16960.37931,3.775069239,40.67195633,0.00001,0.8524,0.7494,3.535790419,1.836256949,639.7619227,NON_BLOOM,0.103,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.67621,
0.67621,32.305,18491.46667,1.932703195,37.8270531,0,0.4578,0.5545,3.587794994,3.654201539,561.6613688,NON_BLOOM,-0.0967,0.61545,NON_BLOOM
0.61545,32.605,18194.66667,0.280497233,-99.19165882,0,0.7328,0.5505,3.544666671,3.506165601,600.2137503,NON_BLOOM,0.1823,1.12118,NON_BLOOM
1.12118,32.27,18446.37931,1.033637743,61.19177711,0,0.6539,0.4511,3.559715286,2.463428195,586.9577447,NON_BLOOM,0.2028,1.67771,NON_BLOOM
1.67771,31.06,18718.36667,1.425107947,45.3438952,0,0.5243,0.4702,3.58562727,1.073105889,450.3546053,NON_BLOOM,0.0541,2.06428,NON_BLOOM
2.06428,28.18,18685.31034,2.934927979,64.06965594,0.00006,0.7869,0.5969,3.585614197,1.4976361,204.055397,NON_BLOOM,0.19,1.75702,NON_BLOOM
1.75702,24.02,18521,1.180178543,175.6703874,0.00216,0.9899,0.97,3.723264044,3.093436151,172.2867069,NON_BLOOM,0.0199,1.31256,NON_BLOOM
1.31256,22.21,17815.53333,0.744825929,139.0420543,0.00046,1.0287,0.914,3.87045457,4.026638814,311.7840801,NON_BLOOM,0.1147,2.47139,NON_BLOOM
2.47139,22.175,17400.59259,2.770738839,60.99426506,0.00019,0.6604,0.5153,3.991164961,4.083084771,488.1693186,NON_BLOOM,0.1451,9.19232,NON_BLOOM
9.19232,22.335,17287.76667,2.783508807,54.68556366,0.00006,0.637,0.445,4.083717733,3.431794558,595.416306,NON_BLOOM,0.192,1.49431,NON_BLOOM
1.49431,25.77,17345.34483,2.373483651,24.23253861,0.00002,0.9272,0.6989,4.075964674,2.229846781,565.9200726,NON_BLOOM,0.2283,0.60777,NON_BLOOM
0.60777,29.175,17113.26667,2.232729955,44.50363247,0,0.9218,0.734,4.066848421,2.541248736,471.0706419,NON_BLOOM,0.1878,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.69998,
0.69998,32.845,18228.3,0.312574025,128.6827222,0,0.8994,0.6321,4.078300981,3.756429396,423.4471353,NON_BLOOM,0.2673,0.73791,NON_BLOOM
0.73791,32.06,18113.93103,0.172779094,69.77394686,0,0.5422,0.3748,4.059346126,2.45496549,438.3497547,NON_BLOOM,0.1674,1.1972,NON_BLOOM
1.1972,30.145,18505.3,0.367132887,-139.9245172,0.00001,0.6397,0.4772,4.004665227,1.336012153,482.680866,NON_BLOOM,0.1625,1.34749,NON_BLOOM
1.34749,27.53,18775.89655,3.19384429,54.94907874,0.00001,0.6608,0.4742,4.001835061,1.813297334,414.5119291,NON_BLOOM,0.1866,1.65304,NON_BLOOM
1.65304,25.35,18443.76667,1.056327958,73.54869472,0.00002,0.5447,0.5413,3.918173713,2.780848192,239.4357235,NON_BLOOM,0.0034,0.90104,NON_BLOOM
0.90104,22.935,18238.8,1.624102183,172.233187,0.00298,0.955,0.9817,3.837354232,3.561091534,219.8979934,NON_BLOOM,-0.0267,5.49996,NON_BLOOM
5.49996,21.59,17909.28571,1.093251329,75.68661449,0.00002,1.0766,0.9817,3.911379832,3.726891764,281.2153112,NON_BLOOM,0.0949,3.61911,NON_BLOOM
3.61911,22.865,16977.1,3.41698983,40.81234967,0,0.6113,0.4546,3.852635169,2.983741243,583.8653479,NON_BLOOM,0.1567,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.69926,
0.69926,31.005,17985.62069,1.918535917,40.90128965,0,0.4203,0.4191,3.587591075,2.280042793,528.8837293,NON_BLOOM,0.0012,1.07655,NON_BLOOM
1.07655,30.33,18670.93333,1.804748028,57.88503608,0,0.5628,0.5079,3.599380999,1.207825181,458.0406494,NON_BLOOM,0.0549,5.01023,NON_BLOOM
5.01023,27.65,18223.62069,0.986440415,-135.7945453,0.00008,0.8788,0.9213,3.599625246,1.484367851,311.9442565,NON_BLOOM,-0.0425,7.86222,NON_BLOOM
7.86222,24.37,17928.73333,2.49469019,62.84942914,0.00046,0.6931,0.7485,3.658276836,2.754926522,266.754915,NON_BLOOM,-0.0554,7.88657,NON_BLOOM
7.88657,22.69,17933.7,2.366846591,63.04484217,0.00122,0.9059,0.8063,3.683874772,3.490184351,266.5342807,NON_BLOOM,0.0996,5.54051,NON_BLOOM
5.54051,22.505,17269.03704,1.994377112,52.464392,0.00006,0.8638,0.6155,3.570448224,3.446391833,417.1577229,NON_BLOOM,0.2483,5.67512,NON_BLOOM
5.67512,24.015,17187.86667,2.570246033,44.88599646,0.00166,0.6652,0.4118,3.458951225,2.827072986,516.4793056,NON_BLOOM,0.2534,2.08951,NON_BLOOM
2.08951,24.53,17134.72414,1.887226061,39.40977312,0.00014,0.8589,0.6132,3.519948705,1.691911312,428.7948827,NON_BLOOM,0.2457,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.49601,
0.49601,32.045,18073.51724,1.805179477,49.02234421,0.00001,0.5103,0.4034,3.736068474,2.78628885,436.6643664,NON_BLOOM,0.1069,1.30295,NON_BLOOM
1.30295,30.305,19103.5,1.737075255,59.72564109,0,0.4121,0.4147,3.734622429,1.223408547,531.4359617,NON_BLOOM,-0.0026,3.66267,NON_BLOOM
3.66267,27.565,18787.68966,1.326531674,79.0671546,0.00008,0.6153,0.5076,3.734836193,1.675332471,431.0674347,NON_BLOOM,0.1077,1.37943,NON_BLOOM
1.37943,24.905,18328.06667,0.784856525,126.9271594,0.00059,0.6346,0.603,3.697628252,2.787547334,359.0215718,NON_BLOOM,0.0316,4.22293,NON_BLOOM
4.22293,23.585,17880.23333,2.530137397,62.14263542,0.00018,0.6342,0.6359,3.602385687,3.288256884,416.5027665,NON_BLOOM,-0.0017,3.4043,NON_BLOOM
3.4043,23.155,17521.55556,1.024233972,47.42013453,0.00059,0.6068,0.4769,3.525897049,3.354034469,534.7682658,NON_BLOOM,0.1299,0.7794,NON_BLOOM
0.7794,24.125,17266.23333,3.606807455,41.94476961,0.00086,0.8222,0.7336,3.515939795,2.539517124,657.8058359,NON_BLOOM,0.0886,0.7968,NON_BLOOM
0.7968,25.815,17101.86207,4.878600176,39.48514988,0.00001,0.9065,0.6679,3.430219335,1.489067568,592.9354933,NON_BLOOM,0.2386,0.79013,NON_BLOOM
0.79013,28.465,17302.76667,4.217609984,37.32394592,0,0.8573,0.7646,3.420728175,1.77251861,419.5306212,NON_BLOOM,0.0927,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.76457,
0.76457,31.585,17923.03448,0.121262149,-159.8246821,0,0.767,0.5828,3.335215797,2.336301237,417.2415959,NON_BLOOM,0.1842,0.69412,NON_BLOOM
0.69412,30.8,18156.66667,2.20306956,50.84551747,0.00001,0.7093,0.5516,3.367849421,1.303639137,335.5416022,NON_BLOOM,0.1577,2.17662,NON_BLOOM
2.17662,28.28,18480.34483,1.354567818,-144.7817694,0,0.8517,0.7289,3.367337057,1.363681954,271.7739366,NON_BLOOM,0.1228,1.55677,NON_BLOOM
1.55677,25.59,18446.63333,0.872783309,-179.6708055,0.00006,0.7581,0.8074,3.3201803,2.434331987,248.6612329,NON_BLOOM,-0.0493,1.41653,NON_BLOOM
1.41653,23.675,17781,0.856157432,100.5335359,0.00039,0.7706,0.8567,3.310198781,3.250917392,277.8688722,NON_BLOOM,-0.0861,7.4862,NON_BLOOM
7.4862,22.4,17623.37037,2.697159656,70.87043155,0.00065,0.6805,0.6198,3.408282472,3.446887485,322.0587923,NON_BLOOM,0.0607,4.73423,NON_BLOOM
4.73423,23.285,17245.06667,3.945057409,44.1896397,0,0.8496,0.5318,3.494337955,2.985982064,447.7011527,NON_BLOOM,0.3178,1.15966,NON_BLOOM
1.15966,25.955,16973.7931,1.38606721,37.97956186,0.00011,0.7014,0.6392,3.487541194,1.973350401,561.6541497,NON_BLOOM,0.0622,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.98123,
0.98123,32.32,18112.1,0.277963496,175.8241946,0,1.2614,0.8718,3.545245324,3.378593663,530.3611041,NON_BLOOM,0.3896,0.60127,NON_BLOOM
0.60127,32.175,18385,1.239141788,52.11307906,0,0.6914,0.5841,3.598117057,2.352164635,552.9631512,NON_BLOOM,0.1073,1.09441,NON_BLOOM
1.09441,30.425,18663.96667,0.742382736,56.98680249,0.00001,0.6477,0.5279,3.575775848,1.265528271,459.7479979,NON_BLOOM,0.1198,1.13577,NON_BLOOM
1.13577,27.595,18535.65517,1.883031559,68.48968165,0.00024,0.5986,0.542,3.576836625,1.695049163,260.460124,NON_BLOOM,0.0566,1.35945,NON_BLOOM
1.35945,24.925,18388.83333,0.97130161,-163.7198267,0.00001,0.8363,0.9448,3.618276523,2.827181188,168.6855548,NON_BLOOM,-0.1085,2.91097,NON_BLOOM
2.91097,23.165,17658.56667,2.705553817,65.00417461,0.00006,0.8747,0.8078,3.670506607,3.508074515,328.9742118,NON_BLOOM,0.0669,2.7116,NON_BLOOM
2.7116,21.58,17719.25,0.269955194,59.95838008,0.00007,0.9187,0.6927,3.777906074,3.796814912,391.2095018,NON_BLOOM,0.226,1.6576,NON_BLOOM
1.6576,22.055,17480.56667,1.9350213,56.39543732,0.00004,0.8892,0.6176,3.913514689,3.159538139,467.4220771,NON_BLOOM,0.2716,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.73326,
0.73326,32.145,18227.31034,0.696725574,72.40510464,0,0.896,0.6056,3.928870173,2.728964624,529.0299614,NON_BLOOM,0.2904,1.0365,NON_BLOOM
1.0365,29.915,18336.06667,0.571053744,57.3371985,0,0.6996,0.4879,3.900194173,1.551468167,478.4818355,NON_BLOOM,0.2117,0.74,NON_BLOOM
0.74,27.975,18407.17241,0.645143957,-139.6076399,0.00042,0.7204,0.4846,3.902318132,1.682741852,117.4531089,NON_BLOOM,0.2358,1.6011,NON_BLOOM
1.6011,25.27,17891.36667,0.999512927,-155.8833646,0.00047,0.5936,0.6962,3.884181305,2.706842795,162.6398227,NON_BLOOM,-0.1026,1.68131,NON_BLOOM
1.68131,23.27,17593.73077,1.216048927,81.75913875,0.00005,0.8844,0.8316,3.874358728,3.438399579,281.5232734,NON_BLOOM,0.0528,2.30946,NON_BLOOM
2.30946,22.925,17649.34615,2.496717979,68.50450704,0.00013,0.4762,0.4108,3.71545316,3.400701725,323.6193559,NON_BLOOM,0.0654,6.11158,NON_BLOOM
6.11158,23.885,17356.05263,2.771303337,50.63520559,0,0.5769,0.393,3.513134952,2.577883499,386.2969791,NON_BLOOM,0.1839,0.72718,NON_BLOOM
0.72718,25.015,17054.59259,3.013078204,43.75181458,0.00047,0.6188,0.4878,3.513134952,1.683559391,423.3191105,NON_BLOOM,0.131,0.73754,NON_BLOOM
0.73754,26.73,16982.14815,4.529398895,33.75095979,0,0.919,0.896,3.520542887,1.303921702,325.1373883,NON_BLOOM,0.023,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.39083,
0.39083,31.28,18104.27586,1.465935873,58.73934689,0,0.8483,0.5975,3.329905425,2.735748933,482.5667197,NON_BLOOM,0.2508,0.75031,NON_BLOOM
0.75031,30.465,18340.96667,2.857898311,54.605382,0,0.5405,0.5329,3.365791347,1.835227052,485.6700596,NON_BLOOM,0.0076,3.13393,NON_BLOOM
3.13393,27.715,18534.64286,1.093600335,-130.1377631,0.00087,0.8096,0.7614,3.364090392,1.509347035,385.2850878,NON_BLOOM,0.0482,3.43098,NON_BLOOM
3.43098,25.115,18180.83333,0.79939471,143.4164945,0.00004,0.4347,0.3648,3.373181892,2.569886509,260.210659,NON_BLOOM,0.0699,5.18497,NON_BLOOM
5.18497,23.085,18105.66667,0.841518696,-152.4661375,0.00136,0.7744,0.7994,3.393104118,3.305954749,150.606983,NON_BLOOM,-0.025,2.35837,NON_BLOOM
2.35837,21.71,17431.77778,0.388753482,138.3060788,0.00027,0.7189,0.6173,3.544121576,3.571824542,341.1936661,NON_BLOOM,0.1016,1.57419,NON_BLOOM
1.57419,22.805,17086.23333,0.123677728,63.22327443,0.00065,0.6537,0.4492,3.645527773,3.066662704,514.2566812,NON_BLOOM,0.2045,1.74948,NON_BLOOM
1.74948,25.005,16777.21429,2.590152055,36.87913244,0.00007,0.8754,0.8414,3.646062636,1.967257856,631.3233829,NON_BLOOM,0.034,0.56387,NON_BLOOM
0.56387,28.785,16864.63333,4.094900456,39.59268574,0,0.8747,0.7632,3.66116889,2.295393485,559.9474398,NON_BLOOM,0.1115,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.71407,
0.71407,32.2,18246.62069,1.017682485,68.51823476,0.00001,0.9173,0.6715,3.788248001,2.600744151,629.047438,NON_BLOOM,0.2458,0.90262,NON_BLOOM
0.90262,30.295,18286.2,0.520025118,28.96479241,0,0.692,0.5258,3.778007816,1.25216396,578.7589232,NON_BLOOM,0.1662,1.71254,NON_BLOOM
1.71254,27.005,18288.72414,0.65148937,96.1595105,0.00007,0.7904,0.7467,3.781901436,1.828784698,427.7396989,NON_BLOOM,0.0437,2.55959,NON_BLOOM
2.55959,24.63,17718.7,0.785688309,102.6082039,0.00003,0.6009,0.6881,3.810503097,2.922246092,277.9707266,NON_BLOOM,-0.0872,2.2022,NON_BLOOM
2.2022,23.55,17950.58621,1.847344938,74.57873282,0.00043,0.7008,0.6943,3.767132254,3.441733353,231.3713558,NON_BLOOM,0.0065,3.57249,NON_BLOOM
3.57249,23.205,17518.14815,1.663197785,58.8550558,0.00008,0.5434,0.4597,3.591661325,3.406153031,299.9536117,NON_BLOOM,0.0837,1.29903,NON_BLOOM
1.29903,23.75,17417.46429,0.382940239,9.259226187,0.00022,0.6704,0.5203,3.492414299,2.519681555,343.0882865,NON_BLOOM,0.1501,2.27522,NON_BLOOM
2.27522,24.935,16852.37931,4.673175793,36.79428239,0,0.9301,0.8066,3.497101181,1.266375241,448.4685527,NON_BLOOM,0.1235,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.61485,
0.61485,32.75,18156,0.602591498,33.89730823,0,0.4626,0.4177,3.501730128,3.365893166,452.9987916,NON_BLOOM,0.0449,0.68069,NON_BLOOM
0.68069,31.925,18440.10714,0.574925533,48.8597263,0,0.5687,0.3597,3.473031292,2.719795744,583.1680888,NON_BLOOM,0.209,1.26377,NON_BLOOM
1.26377,30.725,18477.73333,0.476889523,55.36960162,0.00001,0.5457,0.364,3.501886669,1.533605954,540.3849838,NON_BLOOM,0.1817,1.06732,NON_BLOOM
1.06732,28.385,18290.65517,0.933184964,-142.6843962,0.00035,0.5215,0.3958,3.49919006,1.485551011,416.0145152,NON_BLOOM,0.1257,2.03618,NON_BLOOM
2.03618,25.44,18032.5,1.294736154,-176.7189177,0.00019,0.6794,0.6173,3.44410091,2.556070253,206.4975791,NON_BLOOM,0.0621,2.85826,NON_BLOOM
2.85826,23.59,17761.46667,2.375466185,73.07421428,0.00092,0.7638,0.7785,3.439903983,3.35856213,246.6515004,NON_BLOOM,-0.0147,2.40784,NON_BLOOM
2.40784,23.015,17377.07143,2.55179768,60.2367722,0.00002,0.8927,0.6744,3.461869954,3.410693967,393.3595952,NON_BLOOM,0.2183,1.95494,NON_BLOOM
1.95494,23.79,17300.8,2.504445531,47.83357386,0.00078,0.4885,0.358,3.457899446,2.820885524,438.0592318,NON_BLOOM,0.1305,1.44309,NON_BLOOM
1.44309,24.49,16914.31034,4.265946564,42.85646781,0.00002,0.6934,0.6071,3.491643496,1.780776984,465.212722,NON_BLOOM,0.0863,0.64519,NON_BLOOM
0.64519,27.405,16874.4,4.506382848,36.4727495,0,0.9974,1.0206,3.491825847,1.458957009,418.3279094,NON_BLOOM,-0.0232,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.42288,
0.42288,33.05,18067.53333,0.257254844,-136.6535787,0,0.4672,0.4708,3.527160292,3.52858053,439.4688513,NON_BLOOM,-0.0036,0.70139,NON_BLOOM
0.70139,32.125,18191.92593,1.141968631,50.18109693,0.00001,1.1492,0.8213,3.546974258,3.028413707,515.4054742,NON_BLOOM,0.3279,1.23617,NON_BLOOM
1.23617,31.53,18597.28571,1.991580039,62.1521979,0,0.5748,0.4483,3.608207922,1.875574171,536.2277209,NON_BLOOM,0.1265,1.79032,NON_BLOOM
1.79032,27.59,18708.68966,1.132856336,-141.562903,0.00002,0.7826,0.6587,3.60590825,1.816722476,392.4914629,NON_BLOOM,0.1239,3.10441,NON_BLOOM
3.10441,24.825,18095.86207,2.215089038,64.44698854,0.00001,0.6965,0.766,3.643673432,2.965859558,320.8478458,NON_BLOOM,-0.0695,15.1355,BLOOM
15.1355,23.14,17957.03448,2.016482166,65.41730972,0.00051,0.5306,0.528,3.688620145,3.782035387,281.3431577,BLOOM,0.0026,2.88197,NON_BLOOM
2.88197,22.63,17452.54717,1.127341146,89.56772482,0.00131,0.8257,0.6834,3.731012672,3.782800623,416.0896235,NON_BLOOM,0.1423,6.01286,NON_BLOOM
6.01286,23.295,17054.32759,0.677382465,32.70779507,0.00207,0.8125,0.5884,3.776563947,3.158405012,586.0921069,NON_BLOOM,0.2241,1.81639,NON_BLOOM
1.81639,25.865,16912.0566,2.55410692,42.42006376,0,0.927,0.848,3.698482985,1.746216744,624.3857818,NON_BLOOM,0.079,0.52394,NON_BLOOM
0.52394,29.635,16979.33333,3.844682108,39.01378018,0,0.826,0.8292,3.730771535,2.386894193,471.0582083,NON_BLOOM,-0.0032,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.52253,
0.52253,32.545,17943.72549,0.553847488,-141.9298324,0,0.8226,0.6746,3.847435,3.554385105,383.5332562,NON_BLOOM,0.148,0.8932,NON_BLOOM
0.8932,31.93,18073.94231,0.081902181,162.8610049,0,0.5691,0.4421,3.830891342,2.400090276,440.6022683,NON_BLOOM,0.127,1.36125,NON_BLOOM
1.36125,30.91,18330,1.299297721,58.33389439,0,0.6873,0.464,3.78837412,1.063459044,436.3698392,NON_BLOOM,0.2233,2.43999,NON_BLOOM
2.43999,28.085,18464.57143,0.889442376,111.319673,0.00001,0.8332,0.6171,3.785734989,1.568323813,341.6441859,NON_BLOOM,0.2161,2.62969,NON_BLOOM
2.62969,24.7,18454.56667,1.532166719,-133.4325974,0.00075,0.8002,0.8917,3.794894048,2.901058356,295.1987651,NON_BLOOM,-0.0915,3.01532,NON_BLOOM
3.01532,22.85,17878.1,3.296332024,68.79612793,0.00007,0.6129,0.69,3.827126225,3.662187036,236.7780646,NON_BLOOM,-0.0771,2.5124,NON_BLOOM
2.5124,22.425,16892.2963,1.398103247,56.36787038,0.00031,0.6545,0.5591,3.851730739,3.741917586,544.2480625,NON_BLOOM,0.0954,1.98192,NON_BLOOM
1.98192,23.725,16952.81481,2.95639499,45.41967813,0,0.8453,0.631,3.809103382,3.060598276,670.0510377,NON_BLOOM,0.2143,0.86627,NON_BLOOM
0.86627,25.89,16788.42857,3.760676575,36.27851707,0.00002,0.8554,0.8767,3.807895489,1.931197275,722.1122073,NON_BLOOM,-0.0213,0.58655,NON_BLOOM
0.58655,28.4,17065.7931,3.84122305,37.85863432,0.00001,0.5765,0.6212,3.781253719,2.026799612,613.9450618,NON_BLOOM,-0.0447,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.92838,
0.92838,30.555,17791.97797,0.559544729,75.70803706,0.00002,0.7578,0.4761,3.472207586,1.292681322,455.189466,NON_BLOOM,0.2817,4.62142,NON_BLOOM
4.62142,27.155,17840.70192,0.32434227,-151.272484,0.00114,0.7382,0.675,3.472486576,1.689158444,336.7838189,NON_BLOOM,0.0632,4.55523,NON_BLOOM
4.55523,25.385,17692.62083,1.172668105,83.42963481,0.00003,0.578,0.6628,3.429815856,2.568600056,229.4442846,NON_BLOOM,-0.0848,7.69878,NON_BLOOM
7.69878,23.955,17095.159,2.659655904,59.61238709,0.00002,0.5577,0.6061,3.312515068,3.113185667,392.623267,NON_BLOOM,-0.0484,1.44237,NON_BLOOM
1.44237,23.105,17096.87963,1.030701266,72.30228548,0.00061,0.6655,0.6197,3.225737292,3.041698744,362.0221291,NON_BLOOM,0.0458,4.67889,NON_BLOOM
4.67889,22.63,17021.45,1.37224559,72.15184744,0.00054,0.6742,0.5304,3.352698126,2.728171574,355.5257963,NON_BLOOM,0.1438,2.28228,NON_BLOOM
2.28228,23.9,16909.17672,2.631277311,34.62705607,0.00112,1.165,1.082,3.485135997,1.51690749,355.1065036,NON_BLOOM,0.083,0.92601,NON_BLOOM
0.92601,27.505,17087.33473,3.143281398,31.91210943,0.00001,1.112,0.9883,3.475550591,1.626249947,251.2347581,NON_BLOOM,0.1237,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.39052,
0.39052,32.345,17676.90833,0.329378744,31.03583269,0,0.9729,0.7695,3.714755114,4.123026211,329.1263662,NON_BLOOM,0.2034,0.90921,NON_BLOOM
0.90921,32.71,17740.69828,0.971892334,80.16649893,0,0.843,0.666,3.869720777,3.375047428,343.2622097,NON_BLOOM,0.177,0.92476,NON_BLOOM
0.92476,31.08,17699.23333,0.371540297,73.80702752,0,0.6499,0.308,3.903198719,1.876928823,273.6833356,NON_BLOOM,0.3419,0.92283,NON_BLOOM
0.92283,28.24,17546.21121,2.171428276,-132.127484,0.00098,0.6084,0.4522,3.898258603,1.627740424,189.6656638,NON_BLOOM,0.1562,0.86761,NON_BLOOM
0.86761,25.59,17579.0625,0.641459397,-102.2360264,0.00236,0.833,0.9913,3.887389044,2.743247265,82.60171326,NON_BLOOM,-0.1583,1.4521,NON_BLOOM
1.4521,24,17527.79167,1.325189275,82.69824669,0.00217,1.0515,1.087,3.883531111,3.32878909,80.92435238,NON_BLOOM,-0.0355,0.96518,NON_BLOOM
0.96518,22.98,17266.89286,1.243492082,78.7046232,0.00001,0.8593,0.7788,3.896729465,3.577940127,152.5016227,NON_BLOOM,0.0805,2.27133,NON_BLOOM
2.27133,23.975,16941.21667,1.04917238,42.86836683,0.00066,0.5336,0.3362,3.75852106,2.834610129,252.7263294,NON_BLOOM,0.1974,1.95297,NON_BLOOM
1.95297,26.13,16877.59914,2.208194412,15.25660559,0.00063,1.0249,0.7629,3.599084278,1.737531175,288.0984098,NON_BLOOM,0.262,0.51908,NON_BLOOM
0.51908,28.975,17020.95,2.053017442,64.43562903,0,0.8567,0.9136,3.596175824,1.962264848,276.4507217,NON_BLOOM,-0.0569,0.78675,NON_BLOOM
0.78675,32.19,17428.08621,1.33960354,89.15489832,0,0.5209,0.5265,3.656773016,3.254763176,246.2268647,NON_BLOOM,-0.0056,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.56052,
0.56052,32.51,17869.43534,0.952040138,168.9884656,0,0.5621,0.4057,3.750998386,2.662979873,332.5081853,NON_BLOOM,0.1564,1.13753,NON_BLOOM
1.13753,30.005,17895.55696,0.603443972,-116.231527,0,0.6764,0.6363,3.701498641,1.668619689,295.3513667,NON_BLOOM,0.0401,1.08497,NON_BLOOM
1.08497,27.94,17963.50862,0.99082563,-164.2755779,0.00009,0.7518,0.6057,3.703768984,1.970234229,217.9328112,NON_BLOOM,0.1461,1.13408,NON_BLOOM
1.13408,25.92,17680.2125,0.716339378,-125.6523148,0.00008,0.5673,0.6349,3.68387258,2.830118887,183.5813664,NON_BLOOM,-0.0676,1.23049,NON_BLOOM
1.23049,23.2,17573.51667,1.160746856,-8.722574657,0,0.8787,1.0528,3.76987702,3.625467403,158.8003571,NON_BLOOM,-0.1741,2.31315,NON_BLOOM
