Chl_a(mg/L),SST(øC),salinity(ppt),Wind_Speed_Era5(m/s),Wind_direction_ERA5(degree of north),TP(mm),STD:200KM,STD:100KM,STD_SST_12months,STD_SST_6months(øC),salinty_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_month_Status
10.66112,23.155,16799.66667,2.053316834,72.35075711,0.9,0.5047,0.3239,3.460268736,2.601750079,375.0600555,BLOOM,0.1808,1.84337,NON_BLOOM
1.84337,25.59,16716.37931,2.3630127,61.97441258,0.01,0.7583,0.7873,3.448708167,1.689113221,376.7904818,NON_BLOOM,-0.029,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.62259,
0.62259,31.555,17651.56667,3.345688671,12.58531795,0,0.5696,0.5458,3.27415349,3.178425536,361.6302258,NON_BLOOM,0.0238,0.98997,NON_BLOOM
0.98997,31.775,17959.75862,4.364474875,-7.935086539,0,0.5905,0.4004,3.278232157,2.241911387,459.7837613,NON_BLOOM,0.1901,1.0754,NON_BLOOM
1.0754,30.695,18028.53333,3.360588125,1.821396149,0,0.4975,0.4578,3.321113957,1.107468648,457.5039586,NON_BLOOM,0.0397,1.51238,NON_BLOOM
1.51238,27.85,17967.65517,1.906103276,31.17429566,0.5,0.5175,0.4455,3.320986927,1.324438298,374.0331108,NON_BLOOM,0.072,1.91176,NON_BLOOM
1.91176,23.73,17170.36667,1.467491257,54.39786798,2.38,0.9114,0.9284,3.468358361,2.897056936,308.860811,NON_BLOOM,-0.017,2.30585,NON_BLOOM
2.30585,22.255,16997.1,1.663632818,-162.2328648,1.19,0.9223,0.7665,3.560829408,3.772904128,406.9944132,NON_BLOOM,0.1558,2.8762,NON_BLOOM
2.8762,22.435,16868.77778,1.126687975,172.9803201,0.51,0.6417,0.4245,3.682797849,3.861174979,494.8778823,NON_BLOOM,0.2172,2.60142,NON_BLOOM
2.60142,22.65,16824.83333,2.121082629,71.51377675,0.09,0.4935,0.3319,3.734557905,3.208854179,499.3774212,NON_BLOOM,0.1616,1.43604,NON_BLOOM
1.43604,24.985,16764.37931,2.868449845,39.71001173,0.01,0.6679,0.6338,3.763205914,1.965573319,410.3208352,NON_BLOOM,0.0341,0.45954,NON_BLOOM
0.45954,29.035,16814.2,2.089622544,55.84775316,0,0.8388,0.7427,3.780115992,2.363369182,138.2292159,NON_BLOOM,0.0961,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.82959,
0.82959,32.06,17798.75862,4.287850274,-8.635039747,0,0.427,0.3329,3.925786722,2.575193763,416.8885517,NON_BLOOM,0.0941,0.53788,NON_BLOOM
0.53788,29.795,17899.76667,2.45891737,3.92814175,0,0.5028,0.3647,3.873651557,1.213079472,441.2858423,NON_BLOOM,0.1381,1.29321,NON_BLOOM
1.29321,27.535,17929.55172,0.976755174,9.696213566,0.07,0.4713,0.3998,3.872235282,1.664675686,400.4579182,NON_BLOOM,0.0715,1.20734,NON_BLOOM
1.20734,25.345,17584.43333,2.207455539,70.24580861,0.29,0.483,0.3788,3.766516959,2.600505827,264.2173397,NON_BLOOM,0.1042,2.1558,NON_BLOOM
2.1558,22.67,17069.26667,0.278998154,91.51382135,5.7,0.9208,0.9119,3.718839121,3.479218862,290.119489,NON_BLOOM,0.0089,5.3773,NON_BLOOM
5.3773,21.74,16918.46429,1.89241087,-163.0825277,0.06,1.0241,0.8693,3.803883067,3.685531866,399.530141,NON_BLOOM,0.1548,2.79274,NON_BLOOM
2.79274,22.8,16695.53333,0.603461521,119.2144824,0,0.5782,0.4189,3.787869252,2.899182955,480.7012217,NON_BLOOM,0.1593,0.57937,NON_BLOOM
0.57937,25.355,16760.51724,1.980576373,77.4923723,0,0.7659,0.7467,3.767958665,2.004568567,449.8593256,NON_BLOOM,0.0192,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.81811,
0.81811,30.74,17411.68966,4.913190333,-9.465320924,0,0.3917,0.4336,3.395907745,2.163293528,218.1129577,NON_BLOOM,-0.0419,3.20984,NON_BLOOM
3.20984,29.73,17561.4,2.707281737,20.46995565,0,0.5903,0.4603,3.391836912,1.169963497,228.1368956,NON_BLOOM,0.13,6.46006,NON_BLOOM
6.46006,26.65,17428.03448,2.06639859,35.35020142,0.51,0.8111,0.759,3.393571409,1.626782142,186.0512773,NON_BLOOM,0.0521,7.0101,NON_BLOOM
7.0101,24.085,17253.2,0.545224045,-123.3018656,0.56,0.6499,0.5541,3.466062522,2.726003893,163.1403724,NON_BLOOM,0.0958,7.21244,NON_BLOOM
7.21244,22.825,17048.5,1.185124594,122.9305085,1.41,0.7855,0.6485,3.45004066,3.181443593,162.5939932,NON_BLOOM,0.137,13.8462,BLOOM
13.8462,22.355,16899.59259,1.213184488,84.58923425,0.04,0.7523,0.5415,3.374623101,3.261190244,229.6589591,BLOOM,0.2108,11.66113,BLOOM
11.66113,23.67,16831.4,2.133582241,32.8512321,2.21,0.5766,0.447,3.289860976,2.560923363,267.4663892,BLOOM,0.1296,4.45326,NON_BLOOM
4.45326,24.735,16755.58621,2.441149061,53.53181985,0.24,0.7349,0.5721,3.322619109,1.399311339,238.0907199,NON_BLOOM,0.1628,0.88856,NON_BLOOM
0.88856,28.585,16880.33333,2.024540548,50.42974656,0,0.863,0.7259,3.337962411,2.037879651,163.6690382,NON_BLOOM,0.1371,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.47581,
0.47581,31.46,17854.48276,4.14421519,4.202705202,0.02,0.4238,0.4166,3.468414924,2.432567945,393.2725459,NON_BLOOM,0.0072,0.51015,NON_BLOOM
0.51015,29.85,18115.83333,3.129940425,13.01786489,0,0.4085,0.3909,3.475593774,1.042719468,472.2540861,NON_BLOOM,0.0176,2.68231,NON_BLOOM
2.68231,27.615,17713.68966,2.026052419,55.40394224,0.18,0.4586,0.4004,3.470726664,1.361555483,419.043537,NON_BLOOM,0.0582,1.11541,NON_BLOOM
1.11541,24.81,17258.8,1.865816523,23.14758793,3.07,0.6087,0.526,3.418712802,2.461988949,356.4500371,NON_BLOOM,0.0827,2.99442,NON_BLOOM
2.99442,23.57,17132.73333,0.554630819,173.7344726,0.46,0.6073,0.4757,3.340142498,3.05021675,337.0851246,NON_BLOOM,0.1316,3.08332,NON_BLOOM
3.08332,23.24,16984.18519,1.376683404,70.66198147,2.35,0.5317,0.388,3.23368136,3.128846633,410.1025601,NON_BLOOM,0.1437,1.70232,NON_BLOOM
1.70232,24.545,16820.36667,1.249572797,6.426404783,0.57,0.7437,0.6163,3.153584243,2.364677568,444.9162268,NON_BLOOM,0.1274,0.57206,NON_BLOOM
0.57206,25.95,16796.03448,2.428308564,75.29460583,0,0.7225,0.6239,3.076873639,1.478411309,312.2608089,NON_BLOOM,0.0986,0.30353,NON_BLOOM
0.30353,28.34,16923.3,3.420628137,58.59613668,0,0.8549,0.7425,3.072096501,1.703389798,165.0284508,NON_BLOOM,0.1124,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.49684,
0.49684,31.585,17574.86207,4.326802175,-10.8340422,0,0.5491,0.4367,3.14795006,2.198037003,268.9502767,NON_BLOOM,0.1124,0.58174,NON_BLOOM
0.58174,30.53,17783.56667,2.547295914,-0.258425921,0.37,0.6454,0.4098,3.190667925,1.285828743,359.8659539,NON_BLOOM,0.2356,1.42977,NON_BLOOM
1.42977,27.68,17664.13793,1.949843198,34.85132431,0,0.633,0.4496,3.190354903,1.494586528,371.2023274,NON_BLOOM,0.1834,2.2402,NON_BLOOM
2.2402,24.93,17081.63333,0.747709747,-158.1693683,0.16,0.6838,0.6284,3.181033282,2.599369715,358.7644332,NON_BLOOM,0.0554,1.75702,NON_BLOOM
1.75702,23.47,17065.43333,0.259732325,-32.3687268,0.87,0.7456,0.7473,3.192331387,3.381947171,365.9417916,NON_BLOOM,-0.0017,2.68676,NON_BLOOM
2.68676,22.555,17060.2963,1.511543382,14.77756641,2.8,0.5744,0.5198,3.278957427,3.420256651,308.5825437,NON_BLOOM,0.0546,1.41778,NON_BLOOM
1.41778,23.225,16751.66667,2.184803139,53.93434225,0.16,0.6786,0.4168,3.405316207,2.836833133,365.48818,NON_BLOOM,0.2618,1.77876,NON_BLOOM
1.77876,25.54,16689.72414,3.327610723,52.88855087,0.03,0.6716,0.6271,3.424397149,1.723455025,315.5112367,NON_BLOOM,0.0445,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.66104,
0.66104,31.485,17410.93103,3.061037806,-13.17220367,0,0.5509,0.4072,3.427486628,2.259212006,374.9149544,NON_BLOOM,0.1437,0.6603,NON_BLOOM
0.6603,30.115,17566.06667,2.625481714,6.2026565,0.15,0.5415,0.2889,3.400467161,1.136179331,320.0638728,NON_BLOOM,0.2526,1.1045,NON_BLOOM
1.1045,27.72,17681.72414,1.269575978,9.931091268,0.73,0.465,0.3004,3.400526384,1.443499798,221.632824,NON_BLOOM,0.1646,1.58222,NON_BLOOM
1.58222,24.795,17225.03333,2.1500214,153.0861402,0.02,0.8413,0.8381,3.409688402,2.595036395,154.5316059,NON_BLOOM,0.0032,2.43289,NON_BLOOM
2.43289,23.07,16962.46667,1.123040515,-19.87644242,0.33,0.7919,0.7079,3.45188797,3.247481075,245.0262374,NON_BLOOM,0.084,1.63282,NON_BLOOM
1.63282,22.045,16949.96429,2.053261426,54.49006156,1.21,0.7029,0.6188,3.516239607,3.509914133,280.1433598,NON_BLOOM,0.0841,0.88208,NON_BLOOM
0.88208,21.625,16899,1.084625454,4.507718018,0.09,0.6319,0.5844,3.703233853,3.092600039,309.5823549,NON_BLOOM,0.0475,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.43752,
1.43752,31.855,17619.10345,3.06107993,-8.786694705,0,0.6147,0.4581,3.85005321,2.738279062,386.2521447,NON_BLOOM,0.1566,0.65401,NON_BLOOM
0.65401,30.75,17725.73333,1.297753019,1.427864176,0.25,0.5363,0.4619,3.891104773,1.57434025,358.5528319,NON_BLOOM,0.0744,0.87998,NON_BLOOM
0.87998,28.195,17625.41379,0.666062138,73.49711105,1.43,0.4599,0.3449,3.895999462,1.369621045,244.9627104,NON_BLOOM,0.115,1.36673,NON_BLOOM
1.36673,25.34,16955.5,0.719151194,-164.5920291,2.05,0.6303,0.5755,3.867321492,2.518077419,255.6092029,NON_BLOOM,0.0548,1.39585,NON_BLOOM
1.39585,23.065,17276,0.957796411,-49.80588006,1.05,0.8443,0.7944,3.867803443,3.376094164,269.9452531,NON_BLOOM,0.0499,1.75182,NON_BLOOM
1.75182,22.885,17386.34615,1.342011978,-0.242059387,1.17,0.4111,0.3331,3.774173659,3.517415007,262.0959911,NON_BLOOM,0.078,3.21956,NON_BLOOM
3.21956,23.915,17056.10526,1.937768964,35.65913231,0.01,0.4711,0.3783,3.515733881,2.884163175,278.3566856,NON_BLOOM,0.0928,1.11578,NON_BLOOM
1.11578,25.16,16821.62963,2.539328495,49.28698623,1.32,0.66,0.5132,3.498543943,1.798068408,272.0562333,NON_BLOOM,0.1468,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.33389,
0.33389,31.245,17547.24138,5.304415463,-10.27482733,0.01,0.9554,0.7403,3.251079201,2.866587208,235.2804374,NON_BLOOM,0.2151,0.3902,NON_BLOOM
0.3902,30.595,17603.06897,3.401116834,-18.30828421,0,0.7128,0.5349,3.128013103,2.275504828,302.3760342,NON_BLOOM,0.1779,1.17446,NON_BLOOM
1.17446,29.67,17747.03333,1.164048023,39.56915013,0,0.5946,0.4566,3.045770177,1.401623067,317.2651146,NON_BLOOM,0.138,1.36864,NON_BLOOM
1.36864,27.335,17495.39286,1.855106351,73.01134843,2.3,0.7043,0.457,3.035005835,1.28380619,250.9430385,NON_BLOOM,0.2473,2.2306,NON_BLOOM
2.2306,24.945,17425.93333,1.032823572,-163.0036501,0.09,0.3217,0.2323,3.057842689,2.2590517,176.0637998,NON_BLOOM,0.0894,1.36195,NON_BLOOM
1.36195,22.365,17218.43333,1.02258844,-172.8989461,2.56,0.7215,0.7322,3.14243014,3.18888924,162.5001901,NON_BLOOM,-0.0107,1.43398,NON_BLOOM
1.43398,22.295,17104.66667,0.986920232,-133.1559103,1.32,0.6914,0.6033,3.213086171,3.270484695,218.0683446,NON_BLOOM,0.0881,6.74204,NON_BLOOM
6.74204,22.92,16812.1,1.388054811,-8.512895622,1.89,0.5925,0.5505,3.306516189,2.763270506,299.0899822,NON_BLOOM,0.042,1.46572,NON_BLOOM
1.46572,25.935,16673.10714,1.64395116,16.52990459,0.07,0.8601,0.7048,3.276417712,1.9135099,299.7052449,NON_BLOOM,0.1553,0.56131,NON_BLOOM
0.56131,28.895,16898.53333,2.474160975,36.59019177,0,0.7655,0.6723,3.312562866,2.361811481,254.8235088,NON_BLOOM,0.0932,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.82417,
0.82417,31.325,17780.86207,3.910731803,-9.803312291,0,0.7488,0.549,3.442204861,1.966803668,418.3916496,NON_BLOOM,0.1998,0.68942,NON_BLOOM
0.68942,30.225,17781.93333,2.203303704,-2.931531138,0.01,0.4639,0.326,3.476079244,0.900939325,378.9827092,NON_BLOOM,0.1379,1.14046,NON_BLOOM
1.14046,27.05,17265.82759,0.205112439,64.23649509,0.09,0.6381,0.5087,3.477668839,1.522390527,316.8035312,NON_BLOOM,0.1294,2.75486,NON_BLOOM
2.75486,24.505,17069.46667,0.44581852,155.4626092,0.08,0.6403,0.5849,3.505706855,2.632275104,287.0965462,NON_BLOOM,0.0554,2.05866,NON_BLOOM
2.05866,23.275,16962.68966,0.979903233,47.07618286,0.49,0.7038,0.6068,3.404869369,3.220298144,344.2213199,NON_BLOOM,0.097,5.22063,NON_BLOOM
5.22063,22.99,16926.2963,1.771998944,30.1216912,0.32,0.5319,0.4377,3.321539213,3.26947201,358.5169279,NON_BLOOM,0.0942,0.99906,NON_BLOOM
0.99906,23.155,16976.46429,1.139372674,59.45085444,1.9,0.6155,0.4799,3.295003794,2.643479399,298.1457338,NON_BLOOM,0.1356,1.50676,NON_BLOOM
1.50676,25.94,17017.34483,1.380063144,28.93555111,0,0.8807,0.7212,3.294802383,1.5364825,111.9835074,NON_BLOOM,0.1595,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.85103,
0.85103,32.37,17966.14286,2.368860144,6.882068458,0.01,0.3679,0.3735,3.545966679,2.3816534,394.7695517,NON_BLOOM,-0.0056,0.94362,NON_BLOOM
0.94362,31.05,17829.86667,2.345214213,9.102008424,0.03,0.329,0.2982,3.601837205,1.430738203,390.7780842,NON_BLOOM,0.0308,1.03646,NON_BLOOM
1.03646,28.565,17047.24138,0.705631995,28.15789231,2.31,0.3372,0.3464,3.601026546,1.372101237,375.366793,NON_BLOOM,-0.0092,1.48208,NON_BLOOM
1.48208,25.56,17026.3,1.542202404,-151.5231964,0.32,0.5419,0.6241,3.529385176,2.49684245,384.5126896,NON_BLOOM,-0.0822,2.03066,NON_BLOOM
2.03066,23.53,17084.26667,0.250976622,-56.83868149,1.34,0.7638,0.646,3.501641555,3.396743232,414.010744,NON_BLOOM,0.1178,1.92316,NON_BLOOM
1.92316,23.31,17040.75,1.629925091,73.89410259,0.02,0.7555,0.4985,3.46438454,3.523047627,402.2324393,NON_BLOOM,0.257,2.23074,NON_BLOOM
2.23074,23.795,17025.73333,2.62067872,47.72136716,1.28,0.4283,0.3584,3.393124456,2.900239454,293.2057192,NON_BLOOM,0.0699,1.27457,NON_BLOOM
1.27457,24.86,16824.62069,1.884712335,37.20306322,0.04,0.6727,0.6111,3.462386255,1.802192338,84.36650868,NON_BLOOM,0.0616,0.43232,NON_BLOOM
0.43232,27.42,16628.43333,3.227559058,61.81738021,0,1.0177,1.0138,3.463664565,1.430094451,161.3129357,NON_BLOOM,0.0039,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.59803,
0.59803,32.87,17632,2.505787389,-1.417933355,0,0.4446,0.5109,3.493064632,3.381901585,322.9833634,NON_BLOOM,-0.0663,0.38684,NON_BLOOM
0.38684,31.23,17776.14815,4.625490526,1.779308082,0,0.8536,0.5036,3.384669559,2.752868832,411.4111018,NON_BLOOM,0.35,0.77961,NON_BLOOM
0.77961,30.445,17855,1.326503179,-13.29815885,0,0.5804,0.4031,3.340529732,1.70887146,431.8135584,NON_BLOOM,0.1773,1.18668,NON_BLOOM
1.18668,27.605,17754.62069,1.911552147,111.2163162,0.01,0.6171,0.3425,3.332217313,1.651563443,286.5967546,NON_BLOOM,0.2746,3.37277,NON_BLOOM
3.37277,24.805,17574.03448,0.888286074,-39.57270972,0.01,0.6631,0.5417,3.378799996,2.757821705,181.1384979,NON_BLOOM,0.1214,1.58097,NON_BLOOM
1.58097,22.835,17398.82759,2.085869039,51.68636373,3.88,0.5642,0.4677,3.453799538,3.573865399,150.9399393,NON_BLOOM,0.0965,1.51559,NON_BLOOM
1.51559,22.225,16974.92453,0.645188763,104.3855997,2.42,0.7618,0.555,3.576361896,3.505574628,299.9979176,NON_BLOOM,0.2068,5.53412,NON_BLOOM
5.53412,23.705,16859.44828,0.890693802,79.80311729,2.25,0.7214,0.4968,3.58418253,2.889623678,373.2533056,NON_BLOOM,0.2246,1.58807,NON_BLOOM
1.58807,25.955,16765.43396,1.593209956,48.15368797,0,0.9995,0.7972,3.529855895,1.845179907,374.1256388,NON_BLOOM,0.2023,0.80253,NON_BLOOM
0.80253,29.47,16811.0566,2.094322527,63.6272394,0,0.8534,0.8632,3.567824578,2.409269858,309.6079676,NON_BLOOM,-0.0098,0.52975,NON_BLOOM
0.52975,31.275,16938.18966,3.713547783,39.94194831,0,0.5483,0.5277,3.653443652,3.399895117,209.5210136,NON_BLOOM,0.0206,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.73568,
0.73568,32.42,17701.09615,1.993226315,-6.783749174,0,0.4141,0.3997,3.818748227,2.416944955,365.8963382,NON_BLOOM,0.0144,0.9045,NON_BLOOM
0.9045,30.235,17732.5122,1.527270698,7.646000891,0,0.5626,0.3495,3.80799823,1.247268404,371.6789893,NON_BLOOM,0.2131,1.76164,NON_BLOOM
1.76164,27.425,17723.78571,1.395913192,37.15180913,0.1,0.5846,0.4101,3.809834382,1.868205467,316.423065,NON_BLOOM,0.1745,5.14517,NON_BLOOM
5.14517,23.9,17493.23333,1.00252149,159.8508748,0.43,0.7967,0.734,3.880123137,3.263604113,211.6719624,NON_BLOOM,0.0627,,NON_BLOOM
,,,,,,,,,,,,,1.3059,
1.3059,22.73,16522.22222,0.947517661,-47.48404161,0.27,0.6356,0.4873,3.832429785,3.763991307,424.773801,NON_BLOOM,0.1483,2.05158,NON_BLOOM
2.05158,24.105,16627.92593,2.756621799,57.83347031,0.02,0.8312,0.5203,3.797099222,2.75050715,491.204062,NON_BLOOM,0.3109,1.97068,NON_BLOOM
1.97068,26.485,16664.64286,2.243339679,38.4406422,0.01,0.8846,0.6575,3.776489129,1.791379241,475.5981471,NON_BLOOM,0.2271,0.64573,NON_BLOOM
0.64573,28.2,16795.31034,2.718826394,49.00208785,0.02,0.5816,0.5364,3.751781984,2.007968847,377.7799467,NON_BLOOM,0.0452,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.82858,
0.82858,30.91,17522.64758,1.163912086,-21.43324723,0.12,0.5216,0.3402,3.349707362,1.151917484,357.1689491,NON_BLOOM,0.1814,3.33894,NON_BLOOM
3.33894,26.975,17191.75962,0.471887742,-93.72033864,1.31,0.5792,0.4046,3.353464911,1.579099823,276.3282944,NON_BLOOM,0.1746,4.68619,NON_BLOOM
4.68619,25.27,16939.30417,1.722979417,22.36304937,0.06,0.5959,0.4388,3.250107771,2.468365969,295.1702723,NON_BLOOM,0.1571,4.40855,NON_BLOOM
4.40855,23.59,16717.64017,0.960165703,20.25885723,0.07,0.5658,0.5223,3.149156275,3.169682774,390.5627581,NON_BLOOM,0.0435,2.11082,NON_BLOOM
2.11082,22.965,16746.77778,0.90326441,59.61388253,4.07,0.6349,0.6485,3.11875476,3.222179322,321.5469118,NON_BLOOM,-0.0136,5.37928,NON_BLOOM
5.37928,22.25,16791.52917,1.654048825,57.86874663,1.43,0.5706,0.5254,3.332851293,2.942594754,288.5494227,NON_BLOOM,0.0452,2.70728,NON_BLOOM
2.70728,25.755,16768.84052,1.458078106,17.02802083,2.09,1.206,1.0503,3.358624755,1.660021963,164.5370397,NON_BLOOM,0.1557,1.13166,NON_BLOOM
1.13166,27.95,16870.84937,2.87322263,42.19740882,0.01,1.0881,1.1203,3.355035472,1.924224952,76.24545768,NON_BLOOM,-0.0322,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.45993,
0.45993,31.765,17115.82917,3.684286692,11.54544523,0,0.8083,0.6273,3.562014197,3.660240676,124.9501878,NON_BLOOM,0.181,0.61317,NON_BLOOM
0.61317,31.765,17306.99138,2.667621259,-5.79853944,0,0.7236,0.6025,3.623623206,2.428516351,172.0950153,NON_BLOOM,0.1211,0.79819,NON_BLOOM
0.79819,31.335,17419.6625,0.77850215,-166.5705635,0.03,0.4882,0.3409,3.656305698,1.421123382,189.6686607,NON_BLOOM,0.1473,0.82191,NON_BLOOM
0.82191,28.08,16996.7931,0.513228682,-160.7212632,1.33,0.3711,0.3997,3.648747692,1.37319174,166.5891494,NON_BLOOM,-0.0286,0.74747,NON_BLOOM
0.74747,25.47,16963.85833,0.263035721,150.5588609,6.18,0.8962,0.8175,3.637256865,2.459941423,169.7798689,NON_BLOOM,0.0787,1.26001,NON_BLOOM
1.26001,23.68,17006.40417,1.684678777,-46.52347724,7.57,1.0372,0.9561,3.628464724,3.207998792,171.2253698,NON_BLOOM,0.0811,1.5471,NON_BLOOM
1.5471,23.02,16947.91071,1.619587801,-32.48972311,0.68,0.7606,0.6497,3.622260723,3.453592333,185.2108645,NON_BLOOM,0.1109,1.45444,NON_BLOOM
1.45444,23.59,16807.1125,1.105971301,8.769649076,1.93,0.3653,0.239,3.46347196,2.972849012,188.8758761,NON_BLOOM,0.1263,4.14336,NON_BLOOM
4.14336,26.39,16753.53879,1.591587148,39.48368294,0.46,1.0003,0.8936,3.433276699,1.792646244,96.7729678,NON_BLOOM,0.1067,0.89814,NON_BLOOM
0.89814,29.57,16861.37917,3.382685386,13.62416521,0.01,0.8411,0.9007,3.457797549,2.243350669,90.06458616,NON_BLOOM,-0.0596,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.81474,
0.81474,32.79,17212.28017,0.361277358,-139.7116746,0,0.4565,0.395,3.765928647,2.42859127,155.1333842,NON_BLOOM,0.0615,1.34124,NON_BLOOM
1.34124,30.28,17707.92827,1.195828085,-155.0478417,0,0.5828,0.531,3.7099854,1.383490955,276.3409889,NON_BLOOM,0.0518,0.90314,NON_BLOOM
0.90314,27.97,17370.28448,1.596432053,156.9773844,0.33,0.5316,0.3951,3.710863463,1.849997748,253.1286375,NON_BLOOM,0.1365,1.35605,NON_BLOOM
1.35605,25.66,17086.525,0.851980272,-6.671719332,0.49,0.5176,0.4726,3.698817003,2.833458821,230.6069166,NON_BLOOM,0.045,1.60621,NON_BLOOM
1.60621,23.145,16987.63333,1.563587723,-14.27695097,0,0.961,0.9386,3.758089307,3.675282774,236.5383004,NON_BLOOM,0.0224,3.8377,NON_BLOOM
3.8377,23.465,17011.27778,1.646929369,-37.78101396,0.04,0.501,0.3603,3.707191678,3.514025074,250.1907555,NON_BLOOM,0.1407,2.7525,NON_BLOOM
2.7525,24.065,16850.83333,1.325832392,2.937548949,0,0.5184,0.4724,3.658000436,2.591739147,287.738714,NON_BLOOM,0.046,1.10579,NON_BLOOM
1.10579,26.43,16787.76293,3.14368524,29.75625501,0,0.8437,0.7102,3.656163437,1.726404621,187.3899467,NON_BLOOM,0.1335,,NON_BLOOM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.78792,
